"DATE_TIME","AIRTEMP","RH_AVG","DEWPT","WS","GHI","DNI","DIFF","POA"
"2023-07-28 04:50:00",24.39,94.4,23.45,0.079,0,0,0,0
"2023-07-28 05:00:00",24.27,94.2,23.29,0.162,0,0,0,0
"2023-07-28 05:10:00",24.15,94,23.15,0.19,0,0,0,0
"2023-07-28 05:20:00",23.93,93.3,22.79,0.511,0,0,0,0
"2023-07-28 05:30:00",23.92,93.5,22.83,0.476,0,0,0,0
"2023-07-28 05:40:00",23.78,93.8,22.75,0.5,0,0,0,1
"2023-07-28 05:50:00",23.75,94.3,22.79,0.345,1,0,1,3
"2023-07-28 06:00:00",23.78,93.5,22.69,0.464,4,0,4,6
"2023-07-28 06:10:00",23.71,93,22.53,0.599,8,0,8,10
"2023-07-28 06:20:00",23.66,92.7,22.42,0.314,12,0,12,14
"2023-07-28 06:30:00",23.7,92.5,22.42,0.523,16,0,16,18.58
"2023-07-28 06:40:00",23.73,92.2,22.41,0.505,19,0,19,22
"2023-07-28 06:50:00",23.79,92.2,22.46,0.413,22.2,0,22.2,25
"2023-07-28 07:00:00",23.86,92.3,22.55,0.341,25.1,0,25.1,27.75
"2023-07-28 07:10:00",23.94,92.3,22.63,0.432,28.9,0,28.9,31
"2023-07-28 07:20:00",24.11,91.8,22.71,0.433,31.7,0,31.7,34.25
"2023-07-28 07:30:00",24.31,91.2,22.79,0.384,34.2,0,34.2,38
"2023-07-28 07:40:00",24.46,90,22.72,0.632,36,0,36,40
"2023-07-28 07:50:00",24.69,87.7,22.52,0.409,38,0,38,42
"2023-07-28 08:00:00",24.95,85.9,22.44,0.351,40,0,40,45
"2023-07-28 08:10:00",25.16,84.6,22.39,0.615,42,0,42,46
"2023-07-28 08:20:00",25.3,83.4,22.3,0.308,44,0,44,48
"2023-07-28 08:30:00",25.53,82.2,22.28,0.53,45,0,45,49
"2023-07-28 08:40:00",25.63,80.3,22,0.648,46.7,0,46.7,50
"2023-07-28 08:50:00",25.79,79.86,22.06,0.201,48.3,0,48.3,51
"2023-07-28 09:00:00",26,78,21.88,0.481,50,0,50,52.17
"2023-07-28 09:10:00",26.31,77.18,22.01,0.339,52,0,52,55
"2023-07-28 09:20:00",26.56,75.88,21.97,0.238,54,0,54,62.67
"2023-07-28 09:30:00",26.87,73.04,21.64,0.498,55,0,55,325.3
"2023-07-28 09:40:00",27.26,72.48,21.89,0.485,57,0,57,365.2
"2023-07-28 09:50:00",28.26,68.47,21.91,0.32,615.8,815.1,59,407
"2023-07-28 10:00:00",28.93,66.06,21.96,0.144,644,826.8,60,448.9
"2023-07-28 10:10:00",29.77,62.82,21.93,0.076,665.2,826.5,63,485.3
"2023-07-28 10:20:00",30.39,60.25,21.84,0.247,685.9,828.1,65,522.2
"2023-07-28 10:30:00",29.96,59.58,21.26,0.497,717,845.4,66,561.6
"2023-07-28 10:40:00",30.04,59.58,21.32,0.46,738.1,850.4,67,596.1
"2023-07-28 10:50:00",30.37,58.83,21.43,0.739,750.2,842.5,70,626.7
"2023-07-28 11:00:00",30.7,57.19,21.27,0.631,776.5,856.5,70.6,663.8
"2023-07-28 11:10:00",30.78,55.22,20.78,0.603,796.2,861.3,72.7,695.3
"2023-07-28 11:20:00",30.73,55.48,20.81,0.497,815.5,863,78,729.3
"2023-07-28 11:30:00",31.03,55.83,21.19,0.388,796.6,773.3,125.5,577.5
"2023-07-28 11:40:00",31.53,53.84,21.06,0.655,863.7,865.9,101.7,809
"2023-07-28 11:50:00",31.52,54,21.1,0.708,875.8,867.5,103,832
"2023-07-28 12:00:00",31.35,53.87,20.91,0.802,882.9,855.3,112.8,856
"2023-07-28 12:10:00",31.81,53.65,21.27,0.662,906.5,875.5,111,871
"2023-07-28 12:20:00",32,52.98,21.23,0.939,909.8,879.8,104.3,887
"2023-07-28 12:30:00",32.53,51.18,21.15,0.991,921,883.2,107.5,908
"2023-07-28 12:40:00",32.58,49.57,20.69,0.757,923.8,868.7,120,926
"2023-07-28 12:50:00",32.53,49.98,20.77,0.903,945,882.4,126,947
"2023-07-28 13:00:00",32.75,50.1,21.01,0.879,958.9,883.4,137.8,971
"2023-07-28 13:10:00",32.69,50.53,21.1,0.898,993.9,870.6,184.6,1035
"2023-07-28 13:20:00",33.08,50.78,21.53,0.874,1048.9,871.1,240.1,1063
"2023-07-28 13:30:00",32.72,52.33,21.7,0.982,1032.8,857.6,238.8,1042
"2023-07-28 13:40:00",33.17,51.29,21.78,0.636,396.8,120.1,286.1,267.2
"2023-07-28 13:50:00",32.92,51.8,21.71,1.11,985.1,855.8,200.8,1006
"2023-07-28 14:00:00",33.88,49.35,21.79,0.779,968.8,866.9,180.1,1012
"2023-07-28 14:10:00",33.9,48.52,21.54,0.737,981.1,864.4,201.6,1030
"2023-07-28 14:20:00",33.17,49.52,21.21,1.391,967,855.2,203.7,1023
"2023-07-28 14:30:00",33.14,51.08,21.68,0.873,1025.3,841.2,283.4,1075
"2023-07-28 14:40:00",33.34,50.3,21.61,0.843,1050.9,840.8,319.4,1098
"2023-07-28 14:50:00",33.49,49.75,21.58,1.312,1043.5,812.1,347.6,648.8
